Timestamp,Gender,Country of residence,Location of residence:,Number of years of education,Education,Domain of studies,Profession,Work (Full time/ part time/ not working),Marital state: Married or with partner,Domain of studies,Number of children,Age of children,How many applications that are being used do you have in your smartphone/cellular phone?,"Do you use your smartphone/cellular phone for activities that can be performed also with other means, for example, camera, calculator, 0tes, reading book, payments?",Do you go to bed with the smartphone / cellular phone at your side?,Do you use your smartphone/cellular phone in the middle of the night?,"Do you use your smartphone/cellular phone in parallel with other activities, such as driving, cooking, watching TV?",Do you take your smartphone/cellular phone with you to the restroom?,"Frequency of using the smartphone/cellular phone: on the average, how many times do you use it each hour during the day?",Do you use the location-based services of the smartphone/cellular phone?,"How many social networks (e.g. facebook, twitter) are defined on your smartphone/cellular phone?",Do you consider the smartphone/cellular phone an indispensable tool for your work?,Do you consider the smartphon/cellular phone an indispensable tool for your social life?,Do you consider yourself as addicted to the use of the smartphone/cellular phone?,[A general sense of good physical health],[Pain],"[Work (outside the home or in the home, including household)]",[Activity (outside the home or inside the home. not including work activity)],"[Strength and ability to perform the activities of eating, sleeping, etc. ]","[Strength and ability to perform activities in the family (as a partner, parent, sibling, son/daughter)]",[Intimate relations with partner],"[Relations with friends,  acquaintances, relatives]",[Taking care of yourself and your external appearance],[Strength and ability to cope with the tasks of everyday life],[Independence  in functioning and activity in daily life],"[Sense of lack of control over situations, feeling that you cannot determine anything about what happens]",[Ability to concentrate on the task you are performing],"[Ability to think, solve problems]","[Sense of uncertainty, unclarity]","[Anxiety, fear]","[Depression, sadness]","[Tension, restlessness]",[Hope],[Pleasure],"[Mnotivation to make efforts, to continue doing things]",[Satisfaction of life in general]
05/03/2015 17:37,female,USA,Suburb,16,University: Bachelor's degree,Business,Sales,Full time,2,Business,0,,1,2,1,2,1,1,3,0,1,0,0,2,2,0,3,3,2,2,1,2,2,2,2,2,2,2,0,2,1,1,2,2,3,3
05/03/2015 17:38,male,United States,Suburb,16,University: Bachelor's degree,Computer Science,Unemployed,Do not working,0,Computer Science,0,0,1,0,0,2,1,1,0,0,0,0,1,2,1,2,2,2,2,2,0,2,1,2,2,2,2,2,1,2,2,2,1,2,2,2
05/03/2015 17:39,male,usa,City,12,Secondary school,NA,mturk,Full time,0,NA,0,0,5,0,0,1,1,1,1,0,1,0,0,2,2,2,2,1,3,2,1,1,3,3,2,2,3,3,0,3,3,3,2,2,2,3
05/03/2015 17:39,male,23,City,17,University: Bachelor's degree,Nursing,Nurse,Full time,2,Nursing,0,0,4,2,0,2,0,1,2,2,2,1,1,2,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,2,3,3,3,3
05/03/2015 17:40,female,INDIA,City,23,Master's degree,ECO0MICS,ECO0MIST,Full time,2,ECO0MICS,2,"4, 1",15,2,0,0,0,1,10,0,4,1,1,0,2,2,3,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2
05/03/2015 17:41,female,United States,Village,16,University: Bachelor's degree,Music education,teacher,Full time,0,Music education,0,,100,2,0,2,1,1,3,1,3,0,1,1,3,2,3,2,3,2,2,2,3,3,3,2,3,3,2,2,3,2,3,2,3,3
05/03/2015 17:41,male,USA,Suburb,18,University: Bachelor's degree,Law,Finance,Full time,2,Law,2,2;8,10,2,0,1,1,1,3,2,2,1,1,1,3,3,3,3,3,3,3,3,3,3,3,0,3,3,3,3,3,3,3,3,3,3
05/03/2015 17:41,male,India,City,17,Master's degree,Geography,Freelancer,Full time,2,Geography,2,"7, 4",34,2,0,0,0,2,4,2,4,0,1,1,2,2,2,3,3,2,1,2,1,2,2,0,2,2,2,1,1,1,1,3,2,1
05/03/2015 17:43,female,Usa,Suburb,12,Secondary school,General,Retail clerk,Full time,2,General,2,"11,6",15,2,0,0,0,0,5,2,1,1,1,0,3,2,1,2,3,3,2,2,3,2,2,1,1,3,3,3,3,3,3,3,3,3
05/03/2015 17:44,male,USA,Suburb,15,Professional school,applied science,lab tech,Full time,2,applied science,3,"10, 12, 15",18,2,0,1,2,1,3,1,1,1,0,2,3,2,3,3,2,2,0,1,3,3,3,3,3,3,1,2,3,2,1,1,2,2
05/03/2015 17:47,male,usa,City,2,Professional school,IT,Retail,Full time,0,IT,0,0,10,2,0,1,0,2,5,2,1,0,0,1,3,2,3,1,3,3,2,3,3,3,3,0,3,3,2,2,2,2,2,2,2,2
05/03/2015 17:47,male,USA,City,5,Master's degree,MBA,progarmmer,Full time,2,MBA,2,3,10,2,0,0,0,2,5,2,3,1,1,0,3,1,3,2,3,2,3,2,3,2,3,1,3,3,0,0,1,1,2,3,2,3
05/03/2015 17:47,female,USA,Village,12,Secondary school,n/a,Data,Full time,2,n/a,2,11;10,9,2,0,2,1,1,4,2,5,0,1,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
05/03/2015 17:49,male,USA,City,18,University: Bachelor's degree,Political Science,Tech Training Coordinator,Full time,2,Political Science,2,"5,1",6,1,1,2,1,1,1,2,2,1,1,2,3,2,2,1,3,2,1,2,2,1,3,1,3,2,1,3,2,2,3,2,2,2
05/03/2015 17:50,female,US,City,16,University: Bachelor's degree,informatic,household,Do not working,2,informatic,3,9 mounths; 4 years; 4 years,12,2,0,0,1,1,10,1,1,1,1,1,2,2,3,1,1,1,2,0,1,2,1,1,2,2,1,1,2,2,3,3,3,3
05/03/2015 17:54,male,India,City,19,Master's degree,Finance,Manager,Full time,2,Finance,1,2,12,2,0,2,1,0,5,1,2,1,1,2,3,2,3,2,3,3,3,2,2,3,3,3,3,3,3,3,3,2,3,3,2,3
05/03/2015 17:55,female,usa,Suburb,16,University: Bachelor's degree,literature,tutor,Patial,0,literature,0,0,1,0,0,2,2,0,1,0,0,0,1,2,2,2,2,1,2,1,0,1,3,3,3,2,3,3,2,2,2,2,2,1,3,2
05/03/2015 18:01,male,USA,City,18,Master's degree,Eco0mics,Analyst,Do not working,0,Eco0mics,0,0,20,1,0,2,1,1,2,1,2,0,0,2,1,2,1,1,2,0,1,1,1,2,2,0,2,2,0,2,1,1,1,1,1,0
05/03/2015 18:01,female,United States,City,13,Professional school,Computer Science,Transcriptionist,Full time,2,Computer Science,3,"4, 8, 10",5,2,0,2,2,0,1,0,1,0,0,2,3,1,3,2,3,3,3,2,3,3,3,2,3,3,3,3,3,3,3,3,3,3
05/03/2015 18:02,female,USA,City,13,Secondary school,general,administrative assistant,Full time,2,general,3,"12, 9, 7",15,2,0,2,1,1,2,1,2,0,1,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
05/03/2015 18:12,female,USA,Suburb,18,University: Bachelor's degree,business,office manager,Full time,2,business,0,0,10,1,0,0,1,2,2,2,3,1,1,2,2,2,2,3,2,2,3,2,3,3,2,1,3,2,1,2,2,2,3,3,2,3
05/03/2015 18:14,male,usa,Suburb,13,Professional school,undecided,photo editor,Full time,0,undecided,0,0,1,0,0,2,1,1,6,0,0,0,1,1,2,3,1,2,1,2,1,2,2,1,2,1,1,1,2,3,3,3,2,2,2,1
05/03/2015 18:30,male,USA,Suburb,15,University: Bachelor's degree,Accounting,Writer,Full time,2,Accounting,0,0,15,1,0,1,1,1,1,0,1,1,1,2,3,3,3,3,3,3,3,3,3,3,3,0,3,3,3,3,3,3,3,3,3,3
05/03/2015 18:35,male,USA,City,12,Secondary school,NA,Retail,Full time,2,NA,0,0,3,2,0,2,1,2,1,2,3,0,0,2,2,1,3,2,1,1,1,1,1,1,2,2,2,2,2,0,1,1,1,1,1,1
05/03/2015 18:39,female,usa,Other,13,Secondary school,Physics,Education,Do not working,2,Physics,1,14,25,2,1,2,0,1,8,1,2,0,0,1,2,3,1,1,3,3,3,3,3,3,3,3,2,2,3,2,2,3,2,3,3,3
05/03/2015 18:45,male,USA,City,12,Secondary school,N/A,N/A,Do not working,0,N/A,0,0,10,2,0,1,1,1,5,1,2,0,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2
05/06/2015 13:10,male,USA,Suburb,18,Master's degree,History,captain,Full time,2,History,0,0,12,1,1,2,2,1,1,0,1,0,1,2,2,2,3,2,3,2,3,2,3,3,3,3,3,3,3,3,3,2,2,2,2,2
05/06/2015 13:10,female,USA,Suburb,13,Secondary school,Artist,Artist,Patial,2,Artist,0,0,7,2,0,0,0,1,3,1,3,1,1,1,1,0,1,1,0,2,0,1,1,0,1,1,1,1,0,0,0,1,0,1,2,1
05/06/2015 13:11,male,india,City,16,Professional school,Computer Science,network admin,Full time,2,Computer Science,1,5,30,2,0,1,2,0,40,2,3,1,1,2,1,3,2,2,1,2,2,2,2,2,2,1,2,2,1,1,1,1,2,2,2,2
05/06/2015 13:11,male,usa,Suburb,17,Master's degree,engineering,engineer,Full time,2,engineering,1,9,3,1,1,2,2,1,1,0,1,0,0,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,2,2,3,3
05/06/2015 13:11,male,USA,Suburb,16,University: Bachelor's degree,Eco0mics,Accounting,Full time,0,Eco0mics,0,0,20,2,0,0,0,2,5,2,2,1,1,1,2,2,3,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
05/06/2015 13:13,female,India,City,18,University: Bachelor's degree,Commerce,Accounts,Full time,2,Commerce,2,"2"";""5",5,1,1,2,1,1,7,1,1,1,0,1,2,2,2,2,3,3,3,2,3,3,3,2,2,3,2,2,3,2,2,3,2,2
05/06/2015 13:13,male,usa,City,4,Master's degree,Computer Science,teacher,Full time,2,Computer Science,1,8,6,2,0,0,0,2,5,2,2,1,1,2,1,1,2,1,0,1,2,2,1,1,0,2,2,2,0,0,1,1,1,1,1,0
05/06/2015 13:14,male,united states,City,15,University: Bachelor's degree,business,umemployed,Do not working,0,business,0,0,2,1,1,1,1,0,4,2,1,0,1,2,3,2,1,1,3,2,0,2,3,3,3,2,3,3,2,2,2,1,1,1,2,2
05/06/2015 13:14,male,India,City,16,University: Bachelor's degree,Computer Sciences,Engineer,Full time,2,Computer Sciences,0,0,30,2,0,1,1,0,20,2,5,1,1,0,3,1,2,2,1,1,3,3,3,2,2,0,3,3,1,2,1,1,3,3,3,2
05/06/2015 13:14,male,India,Suburb,16,University: Bachelor's degree,Electronics,System Administrator,Full time,2,Electronics,1,2,40,2,0,1,1,1,10,2,3,1,1,1,3,2,3,3,3,3,3,3,3,2,2,1,3,3,2,3,2,2,3,2,3,3
05/06/2015 13:15,male,USA,Other,16,University: Bachelor's degree,HRIM,unemployed,Do not working,0,HRIM,0,,10,1,0,1,1,0,2,0,0,1,0,2,2,3,1,2,3,3,3,2,3,3,3,3,3,3,3,3,3,3,2,2,3,2
05/06/2015 13:15,male,India,City,22,University: Bachelor's degree,Arts,Manager,Full time,2,Arts,2,"29,35",22,2,1,1,1,2,3,2,3,1,1,1,2,2,3,2,2,3,2,2,2,2,2,2,2,2,2,1,2,1,2,2,2,2
05/06/2015 13:15,male,INDIA,City,18,University: Bachelor's degree,BUSSINESS ADMINISTRATION,EDUCATION COUNCILLOR,Full time,2,BUSSINESS ADMINISTRATION,2,2,3,2,0,1,1,0,15,2,1,1,1,1,3,2,3,2,3,3,3,2,2,3,3,2,3,3,2,2,2,2,3,3,2,3
05/06/2015 13:15,male,USA,Suburb,16,University: Bachelor's degree,Biology,Counselor Aide,Full time,2,Biology,0,0,15,1,0,0,1,1,20,2,1,0,1,2,2,2,3,2,2,2,3,2,2,2,2,1,2,2,1,2,2,2,2,2,2,2
05/06/2015 13:16,female,USA,Suburb,16,University: Bachelor's degree,Business,Finance,Full time,2,Business,0,0,12,2,0,1,1,1,3,1,4,1,1,1,3,3,2,2,3,3,2,2,3,3,3,3,3,3,2,3,3,2,2,2,3,2
05/06/2015 13:16,female,US,Suburb,16,University: Bachelor's degree,NURSING,NURSE,Full time,2,NURSING,0,0,22,2,0,1,0,1,40,2,4,1,1,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3
05/06/2015 13:17,male,India,Village,16,University: Bachelor's degree,B.E,Health care,Full time,2,B.E,0,0,15,2,0,1,1,2,3,2,4,0,1,1,3,2,3,3,2,3,2,3,3,2,3,0,3,2,0,3,3,2,2,3,3,3
05/06/2015 13:17,female,USA,City,19,Master's degree,Psychology,therapist,Full time,2,Psychology,1,2,20,2,0,1,1,2,3,2,5,1,1,1,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,2,2,2,2
05/06/2015 13:19,male,india,City,18,University: Bachelor's degree,BA sociology,Business,Full time,2,BA sociology,1,1,66,2,0,0,0,2,4,2,2,0,1,1,3,2,3,3,2,3,3,3,3,2,3,0,2,3,2,3,2,2,3,2,3,3
05/06/2015 13:20,male,Russia,City,16,Master's degree,Engineering,Programmer,Full time,2,Engineering,1,1,10,1,1,2,2,1,5,2,2,0,0,2,3,3,3,2,3,3,2,2,2,3,3,3,3,3,3,3,3,3,2,2,3,3
05/06/2015 13:21,female,USA,City,18,University: Bachelor's degree,Electrical Engineering,Network Engineer,Patial,2,Electrical Engineering,1,18,30,1,0,1,1,2,1,1,3,0,1,1,3,3,2,2,3,3,3,2,3,3,3,3,3,3,3,3,3,3,2,3,3,3
05/06/2015 13:22,male,America,Village,15,University: Bachelor's degree,commerce,loyer,Full time,2,commerce,1,1,27,2,0,0,0,2,20,2,4,1,1,0,3,1,1,1,2,3,2,1,0,1,2,0,2,1,3,2,1,0,2,1,0,1
05/06/2015 13:22,female,USA,City,14,Secondary school,Psychology,student,Do not working,0,Psychology,0,0,4,2,1,0,0,1,1,1,1,1,1,2,2,3,1,2,2,2,2,2,2,2,2,3,2,2,2,2,3,3,2,2,2,2
05/06/2015 13:22,male,India,Village,18,Master's degree,Computer Science,IT System Administration,Full time,0,Computer Science,0,0,20,2,0,0,0,1,5,2,3,1,1,1,3,3,3,3,3,2,2,3,2,3,2,2,2,3,3,3,3,3,3,3,3,3
05/06/2015 13:25,male,india,City,19,Master's degree,finance,manager,Full time,0,finance,0,0,3,2,0,0,0,2,5,2,3,1,1,2,2,3,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,2,1,2,2,2
05/06/2015 13:25,male,us,City,17,Master's degree,0,supervisor,Patial,2,0,1,1,2,1,0,0,0,2,5,2,2,1,1,1,3,1,2,2,2,2,3,2,2,3,2,0,2,3,1,1,1,0,3,2,2,2
05/06/2015 13:25,male,United States,City,17,Master's degree,Administration,Admin Assistant Manager,Full time,2,Administration,1,1,11,2,0,2,1,1,5,2,4,1,1,0,3,3,3,3,3,3,3,3,3,3,3,1,3,3,0,3,3,3,3,3,3,3
05/06/2015 13:25,male,India,City,16,University: Bachelor's degree,Computer Sciences,Computer Science engineer,Full time,0,Computer Sciences,0,0,5,2,0,0,0,1,4,2,1,1,1,1,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
05/06/2015 13:27,male,India,City,15,University: Bachelor's degree,Commerce,Accountant,Full time,2,Commerce,1,1,15,2,0,2,1,0,3,2,2,1,1,1,3,3,2,3,2,2,3,2,3,2,3,2,3,3,3,3,3,3,2,3,2,3
05/06/2015 13:28,female,indiaa,Village,13,University: Bachelor's degree,english,online work,Patial,2,english,2,5to 1,3000,2,0,0,0,2,10,2,0,1,1,0,2,2,2,2,2,2,2,2,2,2,2,1,2,2,1,1,1,1,2,2,2,2
05/06/2015 13:28,male,india,Village,17,University: Bachelor's degree,politics,employee,Patial,0,politics,0,0,60,2,0,0,0,2,8,1,4,1,1,0,3,2,1,1,2,0,0,2,2,2,3,1,2,2,2,2,1,2,2,1,1,1
05/06/2015 13:30,female,India,City,21,Master's degree,Computer Science,Computer Science engineer,Full time,2,Computer Science,1,1,15,2,0,0,0,1,5,2,4,1,1,1,3,2,2,2,2,3,2,2,2,3,2,2,2,3,2,3,2,2,3,2,3,2
05/06/2015 13:31,male,us,City,16,University: Bachelor's degree,Engineering,Student,Do not working,0,Engineering,0,0,6,2,0,0,0,2,3,1,1,1,1,1,2,3,2,2,1,2,3,2,1,2,2,2,2,2,2,2,1,2,1,0,1,1
05/06/2015 13:32,male,USA,Suburb,8,Professional school,Medicine,Physician,Full time,2,Medicine,1,1,5,2,1,1,2,1,1,2,1,0,0,2,3,2,3,2,2,2,1,1,1,3,3,1,3,3,2,2,3,3,3,2,2,3
05/06/2015 13:33,male,United States,Other,15,Professional school,Culinary arts,Chef,Full time,2,Culinary arts,2,"2,10",10,1,1,2,1,1,3,1,4,0,1,1,3,2,3,2,3,3,2,2,2,3,3,3,3,3,3,3,3,3,3,2,3,3
05/06/2015 13:34,male,USA,City,17,University: Bachelor's degree,Marketing,Marketing,Full time,2,Marketing,0,0,118,2,0,2,1,2,40,2,3,1,1,2,3,3,0,0,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3
05/06/2015 13:37,female,India,Suburb,21,Master's degree,Pharmacy,Pharmacist,Full time,2,Pharmacy,0,0,30,1,0,1,0,0,6,1,3,1,1,0,3,2,3,2,1,2,3,2,3,3,1,2,3,3,0,2,1,2,3,3,3,3
05/06/2015 13:38,male,usa,City,16,University: Bachelor's degree,art,writer,Full time,0,art,0,0,19,2,0,1,0,2,2,2,2,1,1,1,3,3,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2
05/06/2015 13:38,male,indian,City,16,Master's degree,Computer Sciences,teacher,Full time,2,Computer Sciences,0,0,20,2,0,0,0,2,4,2,4,1,1,1,1,1,3,3,2,3,3,3,3,3,3,0,3,3,3,1,3,3,3,3,3,3
05/06/2015 13:41,male,United States,City,12,Secondary school,High School,Hotel Clerk,Full time,0,High School,0,0,20,2,0,1,1,1,2,2,3,1,1,0,2,2,3,2,2,2,0,2,3,2,3,2,2,2,2,2,2,1,2,2,2,2
05/06/2015 13:44,male,India,City,18,University: Bachelor's degree,Information Tech0logy,Web developer,Full time,0,Information Tech0logy,0,0,5,1,0,1,1,1,3,1,2,1,1,1,1,3,1,2,2,1,1,2,2,1,1,2,1,1,1,0,0,0,2,1,2,1
05/06/2015 13:46,male,India,Suburb,18,Master's degree,M.A.,Accounting,Full time,2,M.A.,2,"12, 9",3,2,1,2,1,1,3,0,1,1,1,2,2,2,3,2,3,3,3,2,2,3,3,2,3,2,2,2,3,2,2,2,3,3
05/06/2015 13:46,male,india,Suburb,18,Master's degree,Computer Science,business,Full time,2,Computer Science,1,5,3,1,0,2,2,1,3,2,1,1,0,1,2,2,0,2,1,2,1,2,3,0,2,1,3,1,1,1,0,3,1,2,2,2
05/06/2015 13:47,female,United States,Suburb,14,Professional school,Business,Unemployed,Do not working,2,Business,0,0,1,1,1,2,2,0,1,0,0,0,0,2,2,2,2,1,3,2,1,1,2,2,2,2,3,2,0,0,1,0,1,1,3,2
05/06/2015 13:48,male,USA,Other,12,Secondary school,NA,farmer,Full time,2,NA,0,0,1,0,1,2,2,1,1,0,0,0,0,2,3,2,2,2,3,3,2,2,3,3,3,1,3,3,2,2,3,2,2,3,3,3
05/06/2015 13:49,female,INDIA,City,17,Master's degree,Arts,Private Job,Full time,2,Arts,1,11,50,2,0,0,1,2,40,2,4,0,0,1,3,3,2,2,2,3,3,2,2,3,2,3,2,3,3,3,3,3,2,3,2,2
05/06/2015 13:51,male,india,City,16,University: Bachelor's degree,bsc,sales man,Full time,2,bsc,1,0,40,2,0,0,1,1,5,2,2,1,1,2,1,1,1,1,1,0,1,2,1,0,1,1,1,0,2,1,2,2,1,0,1,0
05/06/2015 13:51,male,India,City,19,Master's degree,Business Administration,Executive,Patial,2,Business Administration,1,1,30,2,0,0,0,2,20,2,3,1,1,0,3,1,1,2,1,1,1,2,1,0,1,2,2,1,1,2,2,1,2,1,1,1
05/06/2015 13:52,male,USA,City,16,University: Bachelor's degree,journalism,Editor,Full time,0,journalism,0,0,30,1,0,1,1,2,3,1,6,1,1,1,2,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2
05/06/2015 13:53,male,United States,City,22,University: Bachelor's degree,Mathematics,Lecturer,Full time,2,Mathematics,1,2,2,2,0,2,1,1,5,0,3,0,0,1,3,1,3,1,2,2,2,3,2,2,1,1,2,2,0,3,2,2,3,1,2,3
05/06/2015 13:54,male,India,City,15,Master's degree,Computer Science,System Engineer,Full time,0,Computer Science,0,0,5,2,0,1,2,0,8,2,2,1,1,1,2,2,0,1,2,1,3,1,2,1,2,0,2,1,1,2,1,1,3,2,1,2
05/06/2015 13:57,male,usa,City,16,University: Bachelor's degree,philosophy,technical support,Full time,0,philosophy,0,0,40,2,0,2,2,1,2,2,2,1,0,2,2,2,2,2,1,1,0,1,1,2,2,2,1,1,1,2,1,1,1,1,1,1
05/06/2015 13:59,male,USA,City,14,Professional school,Computer Science Networking,Computer Science Technician,Full time,0,Computer Science Networking,0,0,10,2,0,1,0,2,2,1,2,1,1,2,2,3,2,2,2,2,0,2,2,2,3,3,2,3,2,2,3,3,2,2,2,2
05/06/2015 14:00,male,USA,City,14,Secondary school,Journalism,waiter,Patial,0,Journalism,0,0,18,2,0,0,0,1,5,2,2,1,1,1,2,2,2,2,3,2,0,2,2,2,3,2,2,3,2,2,2,1,2,1,2,1
05/06/2015 14:01,female,USA,Suburb,19,Master's degree,Sociology,Database Administrator,Full time,2,Sociology,1,2 months,10,2,0,1,1,1,6,2,3,1,1,2,2,2,3,3,3,3,3,3,3,2,3,2,2,3,2,2,3,3,2,3,3,3
05/06/2015 14:01,female,INDIA,City,18,University: Bachelor's degree,BE,Computer Science,Full time,0,BE,0,0,5,0,0,1,1,2,30,1,4,1,0,0,2,2,2,3,1,2,2,1,2,3,2,2,1,0,2,3,2,1,2,3,2,2
05/06/2015 14:03,male,USA,Suburb,16,University: Bachelor's degree,Biomedical engineering,Research engineer,Full time,2,Biomedical engineering,1,1,6,2,0,2,1,1,12,2,1,0,1,2,3,2,2,3,3,3,2,2,2,3,3,3,2,2,2,2,2,2,2,2,2,3
05/06/2015 14:04,male,United States,Other,16,University: Bachelor's degree,Biology,Machinist,Full time,0,Biology,0,0,7,1,0,2,1,0,1,1,1,1,0,2,2,1,2,1,2,2,2,1,1,2,3,1,2,3,1,1,0,0,1,1,2,1
05/06/2015 14:06,male,USA,City,13,Professional school,BUSINESS MANAGEMENT,RETAIL,Full time,0,BUSINESS MANAGEMENT,0,0,50,1,0,2,1,1,5,0,3,0,0,0,2,2,2,1,1,1,2,2,1,1,2,1,1,1,0,0,2,3,0,1,1,2
05/06/2015 14:07,male,India,City,24,Master's degree,Finance,Finance Manager,Full time,2,Finance,0,0,6,2,0,1,1,1,2,1,2,1,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3
05/06/2015 14:07,male,United States,Suburb,14,Professional school,management,construction,Full time,0,management,0,0,20,2,0,1,2,1,4,1,3,1,1,2,3,3,3,3,3,3,3,3,3,3,3,2,3,3,2,3,3,3,3,3,3,3
05/06/2015 14:09,male,India,City,18,Master's degree,Engineering,Self Employed,Full time,0,Engineering,0,0,8,2,0,1,1,0,5,2,2,1,1,1,3,1,2,2,2,2,2,2,2,2,2,1,2,2,2,1,2,0,2,2,2,2
05/06/2015 14:10,male,INDIA,Suburb,15,Professional school,Computer Science,Techinal Head,Full time,0,Computer Science,0,0,5,2,0,0,0,1,4,0,4,1,1,2,3,3,2,2,2,2,1,2,2,1,2,2,2,3,3,2,3,3,3,3,3,3
05/06/2015 14:11,male,usa,City,17,Professional school,engineering/business,administrator,Full time,0,engineering/business,0,0,24,2,0,1,0,2,10,1,4,1,1,0,2,2,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3
05/06/2015 14:12,male,India,City,18,University: Bachelor's degree,Computer Science,Computer Science engineer,Full time,0,Computer Science,0,0,45,2,0,1,0,2,5,2,3,0,0,0,1,3,1,2,1,2,1,2,1,1,1,2,1,2,1,1,1,2,2,1,2,2
05/06/2015 14:13,female,INDIA,City,26,Master's degree,Computer Science and Information Tech0logy,Computer Science Professional,Full time,2,Computer Science and Information Tech0logy,1,6,9,2,0,1,0,2,3,2,3,0,1,1,2,1,3,3,3,3,2,2,3,3,3,1,3,2,0,0,0,0,2,2,2,2
05/06/2015 14:14,male,India,City,20,Master's degree,Eco0mics,Production Manager,Full time,2,Eco0mics,1,2,12,1,0,0,0,2,5,2,3,1,1,0,2,2,2,2,3,2,1,1,2,2,3,1,2,1,3,3,2,3,1,1,2,1
05/06/2015 14:24,female,india,City,6,Master's degree,0,online job,Full time,2,0,1,6,3,1,0,0,1,2,5,2,3,1,1,0,3,1,1,0,1,2,3,2,1,0,1,1,3,2,2,3,2,1,3,2,1,0
05/06/2015 14:24,male,USA,Suburb,17,University: Bachelor's degree,psychology/biology,physician assistant,Full time,2,psychology/biology,0,0,14,2,1,2,2,0,1,2,0,1,0,2,1,1,3,3,3,2,2,2,3,3,3,2,3,3,2,2,3,2,3,2,3,3
05/06/2015 14:25,male,india,Suburb,19,University: Bachelor's degree,arts,accountant,Full time,0,arts,0,0,12,2,0,1,0,2,6,2,3,1,1,1,3,2,3,3,3,3,2,3,3,3,3,2,3,3,2,3,3,3,2,3,3,3
05/06/2015 14:27,male,INDIA,City,22,University: Bachelor's degree,B.TECH,ENGINEER,Full time,0,B.TECH,0,0,5,2,0,2,0,2,15,0,2,1,1,2,3,3,3,2,1,2,2,2,1,2,2,1,1,2,1,3,3,3,3,1,0,0
05/06/2015 14:28,male,India,Suburb,21,Master's degree,MBA,Avaiation,Full time,2,MBA,2,"10, 15",4,2,0,1,2,0,5,2,1,1,0,2,3,3,2,2,3,3,3,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3
05/06/2015 14:30,male,USA,Suburb,18,University: Bachelor's degree,Electrical Engineering,IT,Full time,0,Electrical Engineering,1,11,1,1,0,2,1,1,10,2,1,1,0,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
05/06/2015 14:30,male,India,City,18,University: Bachelor's degree,Computer Science,Computer Science Engineer,Full time,2,Computer Science,1,1,40,2,0,1,1,1,4,2,3,1,1,1,2,1,1,1,2,1,1,2,2,1,1,2,2,1,2,1,2,2,1,2,1,1
05/06/2015 14:32,male,United States of America,Suburb,16,Master's degree,Biotech,Project Manager,Full time,2,Biotech,3,"5, 5, 8",30,2,0,2,0,2,4,2,3,1,1,1,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,2,3,2,3,3,3,3
05/06/2015 14:35,male,United States,City,16,University: Bachelor's degree,Engineering,Technician,Full time,0,Engineering,0,0,10,2,0,0,1,1,7,0,5,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
05/06/2015 14:39,male,united states,Suburb,12,Secondary school,n/a,landscaping crew,Full time,0,n/a,0,0,24,2,0,1,2,0,15,1,1,1,1,2,3,3,3,3,3,1,0,2,3,3,3,3,2,2,3,3,3,3,2,2,3,3
05/06/2015 14:40,female,India,City,24,Master's degree,Human Resource,Engineering,Full time,2,Human Resource,2,"""4"", ""2""",10,2,0,2,0,1,12,2,4,1,1,1,2,2,2,2,2,2,3,2,3,3,3,2,2,2,2,2,2,2,3,2,2,3
05/06/2015 14:43,male,India,Suburb,16,University: Bachelor's degree,Engineering,Finance,Full time,2,Engineering,2,12; 18,3,2,0,2,2,2,5,0,2,1,1,2,3,3,3,2,3,2,2,2,3,3,3,3,3,3,3,3,3,2,2,2,3,2
05/06/2015 14:44,male,italy,City,20,University: Bachelor's degree,architecture,student,Patial,0,architecture,0,0,57,1,1,2,1,1,4,1,4,1,1,1,2,2,2,3,3,3,3,2,2,2,3,1,3,2,1,2,2,2,3,2,3,2
